Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
"An array with 3 rows of 4 dots shows which multiplication fact?","C","3 rows of 4 equals 3 × 4 = 12.","","4 + 3","4 × 3","3 × 4","3 + 4 + 4","","","","Chapter 3: Multiplication (Concepts)","Assessment","Arrays and Equal Groups Q1","Multiple Choice","Chapter 3/Multiplication (Concepts)/Arrays and equal groups"
"How many total objects are in 5 rows with 2 objects in each row?","B","5 rows of 2 equals 10 objects.","","7","10","12","5","","","","Chapter 3: Multiplication (Concepts)","Assessment","Arrays and Equal Groups Q2","Multiple Choice","Chapter 3/Multiplication (Concepts)/Arrays and equal groups"
"Select all arrays that represent 4 × 3.","A;D","4 × 3 has 4 rows of 3 or 3 columns of 4.","","4 rows of 3 stars","3 rows of 2 stars","2 rows of 4 stars","3 columns of 4 stars","","","","Chapter 3: Multiplication (Concepts)","Assessment","Arrays and Equal Groups Q3","Select All","Chapter 3/Multiplication (Concepts)/Arrays and equal groups"
"Which array matches 2 × 6?","C","2 × 6 is 2 rows of 6 objects.","","6 rows of 2","3 rows of 4","2 rows of 6","6 rows of 6","","","","Chapter 3: Multiplication (Concepts)","Assessment","Arrays and Equal Groups Q4","Multiple Choice","Chapter 3/Multiplication (Concepts)/Arrays and equal groups"
"An array has 4 columns with 5 counters each. What is the product?","B","4 columns of 5 counters make 20 in all.","","15","20","9","25","","","","Chapter 3: Multiplication (Concepts)","Assessment","Arrays and Equal Groups Q5","Multiple Choice","Chapter 3/Multiplication (Concepts)/Arrays and equal groups"
"If there are 8 equal groups with 3 items in each, how many items altogether?","D","8 groups of 3 give 24 items.","","18","21","20","24","","","","Chapter 3: Multiplication (Concepts)","Assessment","Arrays and Equal Groups Q6","Multiple Choice","Chapter 3/Multiplication (Concepts)/Arrays and equal groups"
"Choose the multiplication fact for an array of 1 row with 9 apples.","A","1 row of 9 equals 1 × 9.","","1 × 9","9 × 1","3 × 3","9 + 1","","","","Chapter 3: Multiplication (Concepts)","Assessment","Arrays and Equal Groups Q7","Multiple Choice","Chapter 3/Multiplication (Concepts)/Arrays and equal groups"
"What equal groups model shows 7 × 2?","B","7 groups of 2 match 7 × 2.","","2 groups of 7","7 groups of 2","2 groups of 5","7 groups of 3","","","","Chapter 3: Multiplication (Concepts)","Assessment","Arrays and Equal Groups Q8","Multiple Choice","Chapter 3/Multiplication (Concepts)/Arrays and equal groups"
"Select all statements that describe 6 groups of 4 marbles.","B;E","6 equal groups of 4 equal 24 marbles and 4 + 4 + 4 + 4 + 4 + 4.","","An array with 4 rows and 6 columns","An array with 6 rows of 4","6 + 4 + 4","4 + 4 + 4 + 4 + 4 + 4","24 marbles total","","","Chapter 3: Multiplication (Concepts)","Assessment","Arrays and Equal Groups Q9","Select All","Chapter 3/Multiplication (Concepts)/Arrays and equal groups"
"How many columns does an array for 3 × 5 have?","D","3 × 5 can be seen as 3 rows and 5 columns.","","3 columns","6 columns","8 columns","5 columns","","","","Chapter 3: Multiplication (Concepts)","Assessment","Arrays and Equal Groups Q10","Multiple Choice","Chapter 3/Multiplication (Concepts)/Arrays and equal groups"
"An array has 2 rows and 7 columns. What equation matches?","C","2 rows of 7 equals 2 × 7.","","7 + 7 + 7","7 + 2","2 × 7","7 ÷ 2","","","","Chapter 3: Multiplication (Concepts)","Assessment","Arrays and Equal Groups Q11","Multiple Choice","Chapter 3/Multiplication (Concepts)/Arrays and equal groups"
"If you arrange 12 stickers into 3 equal rows, how many are in each row?","A","12 divided into 3 equal rows gives 4 per row (3 × 4).","","4","3","6","5","","","","Chapter 3: Multiplication (Concepts)","Assessment","Arrays and Equal Groups Q12","Multiple Choice","Chapter 3/Multiplication (Concepts)/Arrays and equal groups"
"Which model is not an array for 4 × 4?","C","4 × 4 needs 4 rows and 4 columns, not 2 rows of 8.","","4 rows of 4 circles","4 columns of 4 triangles","2 rows of 8 squares","A square array with 16 dots","","","","Chapter 3: Multiplication (Concepts)","Assessment","Arrays and Equal Groups Q13","Multiple Choice","Chapter 3/Multiplication (Concepts)/Arrays and equal groups"
"Select all arrays with 18 total objects.","A;C","3 × 6 and 2 × 9 both equal 18.","","3 rows of 6","4 rows of 4","2 rows of 9","1 row of 18","","","","Chapter 3: Multiplication (Concepts)","Assessment","Arrays and Equal Groups Q14","Select All","Chapter 3/Multiplication (Concepts)/Arrays and equal groups"
"A baker makes 9 trays with 4 muffins each. Which equation finds the total muffins?","D","9 equal groups of 4 equal 36 muffins.","","4 + 9","9 + 9 + 9","4 × 8","9 × 4","","","","Chapter 3: Multiplication (Concepts)","Assessment","Arrays and Equal Groups Q15","Multiple Choice","Chapter 3/Multiplication (Concepts)/Arrays and equal groups"
